PROTID	PROTLEN	0	0	1	1
m.10038	212	1	2.5	1	0
m.11340	155	2	2	2	1
m.25826	146	11.5	16	11.5	11.5
m.25869	277	2.5	3.5	2	0
m.25878	131	3	0.5	0	0
m.25912	450	2	0	0.5	0
m.25930	109	0.5	2.5	1	0
m.25949	781	1	1	2.5	0
m.2600	343	4	4.5	5	3
m.26006	448	65.5	69	56	38
m.26013	535	0	0.5	1.5	0
m.26049	373	0.5	0.5	1	0
m.1135	538	9	6.5	8.5	4
m.26080	182	0.5	0.5	1	0.5
m.2609	814	2	2.5	3	2
m.26093	209	2.5	2	2	2.5
m.2611	732	8	6.5	6	1
m.26158	399	5	5.5	5	2
m.26179	500	1.5	2	1.5	0
m.26235	513	2	2	2	1
m.26261	222	1.5	2.5	2.5	0.5
m.26278	149	0.5	1	0.5	1.5
m.2633	542	0	0	0	0.5
m.11354	351	5	3	2.5	1.5
m.26336	389	3	3	2.5	1.5
m.26339	197	1	1.5	2	1
m.26379	171	2.5	3.5	3.5	1
m.26409	122	2	3	2	1
m.26466	184	3	5	2.5	0
m.26519	179	0	0.5	1	0
m.2654	386	1	0	0	0
m.2655	450	5	5.5	3	2
m.266	1469	3.5	2.5	3.5	0
m.26602	100	2	2	2	0
m.11369	202	2	2	2.5	2
m.26650	151	1	0.5	0.5	0.5
m.26683	335	1	0.5	1.5	0.5
m.267	1212	0.5	0	1	0
m.26709	377	0	1	1.5	1
m.26751	180	1.5	2	2.5	0.5
m.2677	291	3	2	2	1
m.26788	760	5.5	6	6	1.5
m.26871	106	3	3	1.5	3
m.26880	126	5	4	5	1.5
m.11382	877	0.5	0.5	1	0
m.26907	311	13	14.5	10	5.5
m.26926	313	6.5	8.5	6	3
m.26933	140	5	4	5	3
m.26940	335	8	6.5	5.5	0
m.26970	515	0	0	1	0
m.26981	281	9	5	5	2
m.2705	268	13	14	12	7
m.27078	180	9.5	9	7	5
m.27110	419	1.5	2	1.5	0
m.1141	910	0.5	2.5	1.5	0
m.27111	329	2	1.5	1	1
m.27125	414	0.5	0.5	0.5	0
m.2715	610	25	19.5	19	8
m.27183	206	0.5	1	1	1
m.27197	142	2.5	3.5	3	3
m.2723	969	0.5	0.5	0	0
m.27234	308	19.5	16.5	16	7
m.27301	1031	0.5	0	0.5	0
m.11430	456	0.5	0.5	0.5	1
m.27343	272	1.5	1.5	1	0.5
m.27366	279	1.5	2	1	0.5
m.2737	226	1	1.5	0.5	0
m.27407	217	0	0	1	0
m.2744	660	0	1.5	0	0
m.27472	139	0	1	0	0
m.27519	235	3	3	3	2
m.2758	817	0	1	0	0
m.27586	330	6.5	9	4.5	0
m.27605	263	2.5	2.5	4	1
m.11472	334	2.5	2	3	0
m.27613	234	3.5	3	3	1
m.27614	142	5.5	5.5	5.5	1
m.27625	216	0	0	0.5	0.5
m.27628	467	0	1	1.5	0.5
m.2764	1523	0	0.5	1	0
m.27646	180	4	5.5	5	2.5
m.2765	1329	2.5	2	2	1.5
m.27658	363	1.5	0.5	0.5	1
m.27664	165	3.5	5	4	2
m.27700	104	7	5	5.5	3.5
m.1149	736	1.5	1	1	1
m.27714	423	1	0.5	1	0
m.27772	428	2.5	1.5	3	1
m.27778	204	1.5	1	2	0.5
m.27791	585	6	8.5	9	4
m.27802	451	1.5	0.5	1	0
m.27813	362	1.5	2	1.5	1.5
m.27871	99	2.5	1	3	0
m.2794	658	29	35.5	31	13.5
m.27948	285	3	3.5	3	1.5
m.27998	400	5	4.5	3.5	1.5
m.115	216	8	9	9	2.5
