PROTID	PROTLEN	0	0	0	0	1	1	1	1
m.10038	212	1	3	4	3	0	0	1	1
m.11340	155	3	2	3	2	3	3	4	4
m.25826	146	14	15	11	13	9	12	13	12
m.25869	277	3	4	2	3	1	1	2	2
m.25912	450	1	2	1	0	0	0	0	0
m.25930	109	1	1	2	1	1	0	3	2
m.25949	781	3	3	3	2	0	0	2	3
m.2600	343	5	6	7	7	1	2	5	7
m.26006	448	60	62	70	71	48	40	51	49
m.26013	535	2	1	3	0	2	0	1	1
m.26049	373	1	4	1	1	0	0	1	3
m.1135	538	14	14	8	7	8	4	10	10
m.26080	182	3	2	1	0	0	1	1	2
m.2609	814	3	4	3	5	0	0	3	4
m.26093	209	2	2	2	2	1	2	2	2
m.2611	732	12	12	5	8	8	7	11	13
m.26158	399	8	8	7	5	2	2	7	8
m.26179	500	2	1	0	2	1	1	2	1
m.26235	513	3	3	4	2	0	0	1	1
m.26261	222	1	2	0	2	0	0	1	1
m.26278	149	3	3	3	1	0	0	0	0
m.2633	542	0	2	1	2	0	0	0	2
m.11354	351	5	6	5	5	5	3	5	3
m.26336	389	2	3	3	2	2	1	3	5
m.26339	197	3	3	3	3	1	3	3	3
m.26379	171	3	5	4	3	3	0	5	3
m.26409	122	3	3	2	1	0	0	1	1
m.26466	184	7	8	5	4	0	0	2	1
m.26519	179	2	1	0	0	0	1	0	0
m.2654	386	0	1	0	1	0	1	1	0
m.2655	450	7	6	5	6	3	4	5	4
m.266	1469	2	3	1	2	0	0	3	2
m.26602	100	1	2	2	3	0	0	1	1
m.11369	202	4	2	3	2	1	3	5	4
m.26650	151	1	0	3	3	0	0	0	0
m.26683	335	1	1	1	2	1	0	3	2
m.267	1212	0	0	0	0	0	0	1	1
m.26709	377	2	2	0	1	0	0	3	1
m.26751	180	2	3	2	0	2	0	3	2
m.2677	291	1	1	2	1	1	1	3	3
m.26788	760	9	5	3	6	1	3	5	5
m.26871	106	2	2	2	3	1	2	2	2
m.26880	126	6	5	3	7	4	4	6	6
m.11382	877	2	3	1	2	0	0	1	2
m.26896	558	1	1	1	1	0	0	0	0
m.26907	311	13	14	9	10	2	1	5	5
m.26926	313	9	6	5	4	0	0	0	0
m.26933	140	6	4	5	3	4	3	5	3
m.26940	335	7	8	10	5	1	1	1	1
m.26970	515	2	1	1	1	0	0	1	1
m.26981	281	6	4	6	5	1	2	5	5
m.2705	268	13	11	11	12	7	10	13	10
m.27078	180	10	9	7	8	0	0	0	0
m.27110	419	0	2	2	2	1	0	1	3
m.1141	910	2	2	0	1	1	0	3	4
m.27111	329	1	1	0	0	1	1	0	0
m.27125	414	1	2	0	1	0	0	1	2
m.2715	610	23	23	21	19	17	15	17	18
m.27183	206	2	1	0	1	0	1	1	1
m.27197	142	3	3	3	3	2	3	2	2
m.2723	969	1	0	1	1	0	0	0	0
m.27234	308	24	21	20	19	13	13	16	18
m.27262	177	0	1	2	1	0	0	1	0
m.27301	1031	0	0	0	1	0	0	1	2
m.11430	456	3	3	3	1	0	0	2	5
m.27343	272	1	1	1	1	1	0	0	2
m.27366	279	2	3	1	2	0	0	1	2
m.2737	226	2	2	2	1	0	0	0	0
m.27407	217	0	0	2	2	0	0	1	1
m.2744	660	3	2	0	1	1	2	1	2
m.27472	139	1	1	1	1	0	0	2	1
m.27519	235	4	3	2	3	3	2	2	2
m.2758	817	1	1	1	1	0	0	0	0
m.27586	330	10	7	6	6	1	2	2	4
m.27605	263	4	3	2	2	1	1	4	3
m.11472	334	5	2	3	4	0	1	5	3
m.27613	234	4	4	6	5	1	2	6	6
m.27614	142	3	5	5	6	4	3	2	2
m.27625	216	0	1	0	1	1	0	2	2
m.27628	467	1	1	0	1	0	0	1	0
m.2764	1523	1	2	2	2	0	0	1	1
m.27646	180	5	5	5	5	1	2	3	4
m.2765	1329	2	2	2	3	0	0	2	2
m.27658	363	1	3	1	0	0	0	0	1
m.27664	165	4	5	5	7	3	2	4	6
m.27700	104	6	5	6	7	2	5	4	4
m.1149	736	1	1	0	1	0	0	1	2
