Protein,Len,S0,S0,S1,S1,LogFoldChange,Zstatistic,fdr,FDRup,FDRdown
m.11340,155,3,3,2,3,8.401,0.7986,0.695324,0.399967,0.931072
m.25826,146,13,13,11,12,1.387,0.2928,0.893003,0.566553,0.961904
m.25869,277,1,2,1,3,14.827,2.6587,0.055578,0.014932,0.830016
m.25878,131,0,0,0,0,-4.042,-0.8165,0.988321,0.7812,0.935519
m.25930,109,1,2,1,2,3.952,0.4677,0.827295,0.51157,0.953399
m.25949,781,1,1,0,1,8.554,1.031,0.559766,0.323064,0.911765
m.2600,343,3,4,2,4,-7.134,-1.4765,0.962838,0.815938,0.820848
m.26006,448,54,59,46,55,1.66,0.7447,0.721264,0.418518,0.935063
m.26013,535,0,0,1,1,0.232,0.0364,0.966743,0.639787,0.966696
m.1135,538,9,8,9,10,-5.425,-0.7006,0.983127,0.770642,0.94262
m.26080,182,0,1,1,0,-3.711,-0.5752,0.985082,0.757002,0.948455
m.2609,814,0,1,0,3,-9.683,-0.9823,1,0.793796,0.919455
m.26093,209,1,1,1,2,-7.321,-1.243,0.999999,0.808064,0.877903
m.2611,732,5,6,1,4,5.263,0.8647,0.659597,0.377405,0.925941
m.26158,399,3,3,2,6,2.086,0.3424,0.874695,0.551291,0.959873
m.26179,500,0,0,0,0,0.99,0.163,0.935448,0.604979,0.965541
m.26235,513,1,1,0,2,-6.079,-0.7177,0.983459,0.772309,0.941712
m.26261,222,0,0,0,0,-5.492,-0.7891,0.986497,0.778852,0.937428
m.11354,351,2,4,2,4,3.005,0.6501,0.760428,0.450963,0.941728
m.26336,389,2,2,2,1,-5.52,-0.5373,0.986945,0.752317,0.950059
m.26339,197,1,1,0,2,0.565,0.0574,0.962242,0.634223,0.966665
m.26379,171,2,2,0,1,5.747,0.5239,0.806608,0.493241,0.95001
m.26409,122,0,1,1,1,-6.389,-0.7989,0.98711,0.779701,0.936765
m.26466,184,1,0,0,0,-5.402,-0.6712,0.982905,0.767676,0.944101
m.26519,179,0,0,0,0,0.27,0.047,0.964505,0.636989,0.966689
m.2655,450,2,2,2,3,1.185,0.1775,0.931208,0.60081,0.965258
m.266,1469,3,3,0,6,-11.232,-1.9856,0.863525,0.82106,0.651434
m.26602,100,0,1,0,1,-3.766,-0.5837,0.984728,0.758014,0.948089
m.11369,202,3,3,1,3,-8.254,-1.0917,1,0.800559,0.904653
m.26650,151,0,1,0,0,-2.131,-0.4192,0.994384,0.735716,0.954914
m.26683,335,1,1,1,1,3,0.3118,0.886079,0.56074,0.961166
m.267,1212,1,0,0,1,-2.643,-0.4541,0.992124,0.740956,0.953494
m.26709,377,1,0,0,1,-20.675,-3.1176,0.281667,0.816901,0.304364
m.26727,287,0,0,0,0,-4.548,-0.5883,0.984549,0.758556,0.94789
m.26751,180,2,1,1,4,-8.219,-1.9868,0.863266,0.821063,0.650899
m.2677,291,1,2,2,6,5.915,1.6659,0.329601,0.151068,0.861633
m.26788,760,2,1,2,3,3.041,0.4579,0.830957,0.514734,0.953964
m.26871,106,1,1,1,2,-4.065,-0.387,0.996316,0.730618,0.956211
m.26880,126,5,4,5,6,7.892,2.0092,0.207245,0.076588,0.847952
m.11382,877,0,0,0,1,0.971,0.1371,0.942678,0.612337,0.965968
m.26907,311,8,11,8,9,6.047,1.2545,0.442493,0.257643,0.891323
m.26926,313,5,5,3,6,-12.681,-2.8083,0.323136,0.818485,0.292676
m.26933,140,4,3,4,5,-3.431,-0.4149,0.994654,0.73505,0.955088
m.26940,335,4,4,2,3,-3.036,-0.3842,0.99647,0.730163,0.956323
m.26970,515,0,0,0,0,3.262,0.603,0.777959,0.466911,0.944907
m.26981,281,2,5,2,1,0.708,0.1479,0.939717,0.609282,0.965802
m.2705,268,8,10,8,9,3.337,0.9391,0.615577,0.352557,0.919815
m.27078,180,7,8,7,8,-2.816,-0.7773,0.985819,0.777814,0.9382
m.27110,419,0,1,0,1,4.249,0.5295,0.804574,0.491397,0.949661
m.1141,910,0,0,0,2,-8.755,-0.9414,0.999807,0.790938,0.924197
m.27111,329,1,2,0,0,-8.077,-1.145,1,0.803429,0.896156
m.27125,414,0,1,0,1,0.311,0.0411,0.965759,0.638549,0.966695
m.2715,610,19,23,18,24,4.145,1.7835,0.303952,0.122487,0.856287
m.27183,206,0,0,0,1,0.268,0.0547,0.962834,0.634943,0.966673
m.27197,142,3,3,3,3,3.357,0.4369,0.838853,0.521481,0.955145
m.27204,360,0,0,0,0,8.704,1.177,0.478882,0.279372,0.898374
m.2723,969,0,1,0,0,-6.522,-0.9299,0.998674,0.790103,0.92545
m.27234,308,11,13,13,10,2.078,0.5692,0.790217,0.478236,0.947127
m.11430,456,1,1,1,0,-2.075,-0.2816,0.999968,0.712104,0.960253
m.27366,279,1,1,1,2,-10.265,-1.6329,0.921665,0.818675,0.778106
m.2737,226,0,1,0,1,-5.125,-0.4453,0.992702,0.739662,0.953854
m.27407,217,0,0,0,1,5.267,0.6263,0.769383,0.459045,0.943346
m.27472,139,0,0,0,0,2.939,0.3407,0.875333,0.551819,0.959949
m.27519,235,4,3,3,4,-8.104,-1.0151,1,0.795953,0.915357
m.27586,330,1,4,2,5,1.747,0.2407,0.911184,0.582262,0.963662
m.27605,263,2,3,0,2,9.94,1.4939,0.36223,0.194664,0.871958
m.11472,334,1,1,1,2,-1.217,-0.1365,0.993521,0.682035,0.96464
m.27613,234,1,1,1,3,2.907,0.5018,0.814681,0.500486,0.951371
m.27614,142,3,5,3,4,-5.353,-0.5941,0.984337,0.759234,0.947638
m.27625,216,0,0,1,1,-11.094,-0.7752,0.985704,0.777628,0.938335
m.27628,467,1,0,1,1,8.085,1.1102,0.51409,0.298884,0.904536
m.2764,1523,0,0,1,2,-8.149,-1.2348,1,0.807706,0.879574
m.27646,180,3,4,3,3,-10.56,-1.3676,0.992024,0.812873,0.849013
m.2765,1329,0,0,0,2,-7.681,-1.1583,1,0.804106,0.893887
m.27658,363,0,0,0,2,8.534,1.057,0.544382,0.314997,0.909413
m.27664,165,1,1,1,1,6.513,0.9716,0.595763,0.341959,0.917023
m.27700,104,7,5,5,7,-12.282,-1.551,0.941755,0.81745,0.800904
m.1149,736,1,1,1,1,7.506,0.9731,0.594847,0.341474,0.916893
m.27714,423,0,0,1,1,-3.972,-0.6103,0.983812,0.761093,0.946925
m.27772,428,2,0,1,2,3.135,0.542,0.800043,0.48727,0.948873
m.27778,204,0,0,0,1,1.34,0.2793,0.897837,0.570657,0.962397
m.27791,585,6,6,3,7,0.149,0.0249,0.969097,0.642796,0.966686
m.27802,451,0,0,1,2,-5.727,-0.7473,0.984403,0.7751,0.940042
m.27813,362,1,1,1,1,1.703,0.1531,0.938264,0.607805,0.965716
m.27871,99,1,2,1,2,9.016,1.4045,0.386437,0.21769,0.878607
m.2794,658,29,28,21,30,3.833,1.0681,0.537919,0.311592,0.908401
m.27948,285,1,2,1,2,-0.332,-0.0557,0.983368,0.66311,0.966098
m.27998,400,1,2,1,1,-7.935,-1.1821,1,0.805278,0.889671
m.115,216,6,7,6,8,-0.668,-0.1298,0.992849,0.680523,0.964792
m.28013,833,1,1,1,2,2.077,0.3852,0.858485,0.537904,0.957861
m.28097,108,4,3,4,4,1.372,0.2424,0.910612,0.581755,0.963611
m.28137,274,3,2,1,3,-7.998,-0.8621,0.992036,0.784931,0.93193
m.28144,117,0,0,0,1,8.633,1.0707,0.536415,0.310797,0.908164
m.28154,158,0,1,0,1,6.345,0.7114,0.735864,0.429979,0.937454
m.2824,459,4,4,3,4,-2.102,-0.4609,0.991675,0.741943,0.953216
m.28256,203,4,6,2,3,-2.156,-0.4579,0.991872,0.741509,0.953339
m.28278,688,1,2,2,3,-5.362,-0.381,0.996647,0.72964,0.95645
m.28313,382,0,0,0,0,-9.645,-0.9193,0.997582,0.789322,0.926564
m.1005,498,9,9,8,10,-4.282,-0.6007,0.98411,0.759997,0.947349
m.1152,2284,0,0,0,1,-5.013,-0.6296,0.983335,0.763247,0.946058
m.284,444,4,5,4,5,1.11,0.2726,0.900206,0.572685,0.962632
m.2841,371,2,0,0,1,-15.286,-1.698,0.909166,0.819401,0.758849
m.28413,203,3,3,2,2,-3.865,-0.8692,0.992681,0.785492,0.93132
m.28419,437,1,1,1,5,2.749,0.4436,0.836328,0.519334,0.954773
m.28422,153,1,2,0,1,10.427,1.3165,0.416982,0.240851,0.885875
m.28430,410,2,3,2,5,-0.83,-0.1349,0.993363,0.681675,0.964677
