PROTID	PROTLEN	0	0	0	0	1	1	1	1
m.10038	212	1	1	0	0	2	1	3	1
m.11340	155	2	2	1	1	1	2	3	2
m.25826	146	10	13	10	13	15	13	17	10
m.25869	277	2	2	0	0	3	2	4	3
m.25878	131	0	0	0	0	0	3	1	3
m.25912	450	1	0	0	0	0	2	0	2
m.25930	109	1	1	0	0	3	1	2	0
m.25949	781	3	2	0	0	1	1	1	1
m.2600	343	5	5	3	3	5	5	4	3
m.26006	448	55	57	38	38	68	60	70	71
m.26013	535	1	2	0	0	1	0	0	0
m.26049	373	1	1	0	0	0	0	1	1
m.1135	538	7	10	5	3	6	9	7	9
m.26080	182	0	2	0	1	1	0	0	1
m.2609	814	3	3	2	2	2	1	3	3
m.26093	209	2	2	3	2	2	2	2	3
m.2611	732	6	6	1	1	5	7	8	9
m.26158	399	5	5	1	3	6	4	5	6
m.26179	500	2	1	0	0	2	2	2	1
m.26235	513	2	2	1	1	2	2	2	2
m.26261	222	2	3	0	1	2	2	3	1
m.26278	149	1	0	1	2	1	1	1	0
m.2633	542	0	0	1	0	0	0	0	0
m.11354	351	3	2	1	2	2	6	4	4
m.26336	389	2	3	1	2	3	2	3	4
m.26339	197	1	3	0	2	2	0	1	2
m.26379	171	3	4	1	1	4	3	3	2
m.26409	122	2	2	1	1	3	3	3	1
m.26466	184	3	2	0	0	5	3	5	3
m.26519	179	1	1	0	0	0	0	1	0
m.2654	386	0	0	0	0	0	2	0	0
m.2655	450	2	4	1	3	5	6	6	4
m.266	1469	5	2	0	0	2	4	3	3
m.26602	100	2	2	0	0	2	2	2	2
m.11369	202	2	3	2	2	2	2	2	2
m.26650	151	1	0	1	0	0	2	1	0
m.26683	335	1	2	0	1	0	1	1	1
m.267	1212	1	1	0	0	0	1	0	0
m.26709	377	1	2	1	1	1	0	1	0
m.26751	180	3	2	0	1	2	2	2	1
m.2677	291	1	3	1	1	2	3	2	3
m.26788	760	6	6	2	1	6	5	6	6
m.26871	106	2	1	3	3	3	3	3	3
m.26880	126	5	5	2	1	4	5	4	5
m.11382	877	1	1	0	0	0	1	1	0
m.26907	311	11	9	5	6	14	13	15	13
m.26926	313	6	6	4	2	9	6	8	7
