Protein	Len	S0	S0	S0	S1	S1	S1	LogFoldChange	Zstatistic	fdr	FDRup	FDRdown
m.1	362	6	6	3	6	6	3	0.604	1.0257	0.002073	0.000273	0.631226
m.1000	214	47	57	49	62	60	51	0.215	1.2276	0.000241	0.000029	0.608937
m.10009	206	20	12	15	8	11	6	-0.608	-1.5188	0.014014	0.578190	0.002599
m.10012	278	0	1	0	0	0	0	-0.181	-0.1794	0.998912	0.387350	0.750690
m.10015	205	22	17	16	20	21	18	0.208	0.6458	0.053909	0.008202	0.698976
m.10041	171	0	1	0	0	0	0	-0.223	-0.1903	0.999407	0.395012	0.747055
m.1005	498	11	18	24	14	17	16	-0.491	-1.4991	0.016594	0.579071	0.003106
m.10054	107	3	0	0	0	0	0	-0.370	-0.3286	1.000000	0.480698	0.686658
m.1007	159	0	0	1	0	0	0	-0.362	-0.3614	1.000000	0.497570	0.667852
m.10080	526	23	36	31	29	31	21	-0.071	-0.2683	0.999982	0.446146	0.716480
m.10101	187	0	2	1	0	0	3	-0.412	-0.3844	1.000000	0.508593	0.653493
m.10111	222	9	9	1	6	9	3	1.167	1.6455	0.000001	0.000000	0.582894
m.10119	416	0	0	0	0	1	1	-0.232	-0.2205	1.000000	0.415615	0.736194
m.1013	969	0	1	0	0	1	1	-0.272	-0.2629	0.999989	0.442832	0.718871
m.10132	182	0	2	3	0	0	3	-0.938	-1.0043	0.375576	0.609173	0.102308
m.10135	467	19	28	18	25	25	6	0.366	1.1316	0.000694	0.000087	0.618516
m.10138	474	6	7	1	3	8	4	0.655	0.7094	0.033605	0.004998	0.685081
m.10139	271	0	0	0	3	1	0	0.574	0.6538	0.050877	0.007719	0.697178
m.10164	157	3	0	0	3	3	0	0.676	0.7340	0.027778	0.004095	0.679967
m.10182	249	0	3	0	2	3	0	0.323	0.3511	0.329264	0.056127	0.767828
m.10194	572	30	51	43	56	47	45	0.285	1.4742	0.000012	0.000001	0.591220
m.10196	145	2	0	3	1	1	0	-1.043	-1.1867	0.148838	0.597279	0.035175
m.10199	219	17	16	16	14	15	21	-0.114	-0.3293	1.000000	0.481072	0.686276
m.10205	893	0	0	0	0	2	0	-0.127	-0.1200	0.991782	0.343854	0.767988
m.10239	279	0	2	1	1	3	0	-0.326	-0.3138	1.000000	0.472639	0.694528
m.10260	232	2	5	6	4	4	3	-0.372	-0.6354	0.984034	0.589925	0.430995
m.10264	203	0	0	0	1	0	0	-0.299	-0.2630	0.999987	0.442894	0.718827
m.10289	705	3	1	3	0	4	1	-0.799	-0.8263	0.731224	0.611675	0.231782
m.10304	278	0	0	0	0	0	1	-0.436	-0.3920	1.000000	0.512090	0.648529
m.10324	680	0	1	6	5	5	1	-0.112	-0.1887	0.999346	0.393894	0.747598
m.10327	1122	14	13	13	15	11	10	0.129	0.3343	0.357411	0.061511	0.771262
m.10342	512	0	0	0	0	0	1	-0.272	-0.2467	1.000000	0.432681	0.725789
m.10346	250	2	0	0	1	2	6	0.090	0.0803	0.836132	0.193207	0.796521
m.10353	112	0	1	1	0	0	0	-0.616	-0.6210	0.991119	0.586969	0.446494
m.1036	1192	0	0	0	1	3	1	-0.192	-0.1861	0.999234	0.392073	0.748473
m.10378	725	11	9	6	7	5	7	0.141	0.2735	0.469627	0.084308	0.782334
m.1038	113	18	20	16	17	18	15	0.078	0.2522	0.511881	0.093585	0.785610
m.10387	484	9	6	12	10	12	16	-0.140	-0.3331	1.000000	0.483093	0.684190
m.104	1674	47	104	66	96	94	96	0.384	2.3922	0.000000	0.000000	0.563789
m.1041	396	3	3	1	3	3	6	0.593	0.6631	0.047539	0.007189	0.695105
m.1042	331	2	5	3	7	6	6	0.861	1.3577	0.000052	0.000006	0.598521
m.1044	836	0	0	0	1	0	0	-0.343	-0.3184	1.000000	0.475174	0.692122
m.10463	220	3	4	3	9	4	3	0.950	1.6643	0.000001	0.000000	0.582108
m.10468	320	14	18	16	21	15	21	0.274	0.8041	0.015765	0.002264	0.666255
m.10472	547	6	9	9	14	10	10	0.435	1.0384	0.001826	0.000239	0.629575
m.10496	298	23	18	21	32	14	31	0.477	1.6576	0.000001	0.000000	0.582385
m.10498	209	0	1	0	0	0	0	-0.460	-0.4644	1.000000	0.541903	0.595544
m.10499	214	1	1	4	4	7	0	-0.089	-0.1385	0.995016	0.357677	0.763046
m.1054	285	18	21	21	20	18	13	-0.005	-0.0169	0.945193	0.264799	0.788383
m.10547	1648	0	1	1	0	1	0	-0.647	-0.6032	0.998020	0.583041	0.465414
m.10557	131	0	1	0	0	2	3	-0.275	-0.2704	0.999973	0.447425	0.715538
m.10558	176	6	11	10	8	12	6	-0.227	-0.4743	1.000000	0.545504	0.587482
m.10560	427	16	10	13	24	28	19	0.630	1.9196	0.000000	0.000000	0.573211
m.10575	652	7	0	4	1	3	0	-1.222	-1.4355	0.027967	0.582130	0.005415
m.10580	205	0	0	0	1	0	1	-0.307	-0.2649	0.999992	0.444064	0.717990
m.10586	414	0	1	0	2	0	1	0.248	0.2687	0.479050	0.086339	0.783102
m.1060	147	3	6	4	0	3	3	-1.100	-1.2906	0.079444	0.590365	0.017090
m.10603	487	5	5	3	4	4	0	0.101	0.1494	0.717996	0.148094	0.795795
m.10605	698	5	3	3	4	7	3	0.224	0.2981	0.422479	0.074440	0.778138
m.10621	420	3	8	3	4	5	13	0.302	0.3925	0.266036	0.044418	0.758841
m.10638	702	1	1	0	0	3	3	-0.196	-0.1778	0.998831	0.386216	0.751212
m.10645	257	1	2	1	0	3	0	-0.355	-0.3457	1.000000	0.489664	0.677093
m.1069	424	14	15	15	12	15	13	-0.184	-0.5157	1.000000	0.559392	0.551638
m.10693	451	5	0	0	1	0	0	-0.378	-0.3560	1.000000	0.494885	0.671081
m.107	99	14	24	21	24	22	24	0.097	0.3304	0.364140	0.062815	0.772039
m.10713	218	30	26	28	35	30	34	0.247	0.9658	0.003718	0.000502	0.639508
m.10714	429	14	14	22	10	15	16	-0.758	-2.0326	0.000057	0.563724	0.000009
m.10723	443	0	1	4	1	2	3	-1.160	-1.3807	0.042531	0.585034	0.008526
m.10726	1630	10	10	10	11	20	7	0.093	0.2236	0.569872	0.107133	0.789429
m.1073	371	5	7	6	4	5	3	-0.301	-0.4952	1.000000	0.552746	0.569813
m.1074	292	4	6	4	9	8	6	0.633	1.1751	0.000433	0.000053	0.613959
m.10744	282	12	10	12	18	10	16	0.447	1.2386	0.000213	0.000025	0.607948
m.10807	572	44	51	60	51	55	48	-0.162	-0.8089	0.765530	0.610926	0.248103
m.10812	189	4	3	0	5	1	3	1.072	1.3713	0.000044	0.000005	0.597580
m.10816	192	7	6	4	8	10	6	0.569	0.9936	0.002845	0.000380	0.635561
m.10818	372	6	1	4	2	5	1	-0.715	-0.9167	0.542437	0.612376	0.157213
m.10831	206	1	0	1	3	3	9	0.686	0.8206	0.013725	0.001959	0.663216
