Protein	Len	S0	S0	S0	S0	S0	S0	S0	S0	S1	S1	S1	S1	S1	S1	S1	S1	LogFoldChange	Zstatistic	fdr	FDRup	FDRdown
m.1	362	2	2	2	2	2	2	2	0	2	2	1	2	2	2	2	1	-0.182	-0.1648	0.715219	0.115168	0.965311
m.1000	214	15	17	19	21	14	18	19	14	20	19	18	20	18	22	23	16	1.858	2.5331	0.000000	0.000000	0.599043
m.10009	206	7	4	6	4	5	8	4	4	3	3	2	1	4	4	4	2	0.440	0.4070	0.010879	0.000740	0.797846
m.10012	278	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-0.574	-0.5327	1.000000	0.407842	0.992900
m.10015	205	7	6	7	5	8	7	6	4	6	9	7	7	6	7	6	5	0.439	0.4129	0.010158	0.000688	0.796322
m.10041	171	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-0.545	-0.5044	0.999377	0.387111	0.993412
m.1005	498	5	6	8	6	4	2	6	8	5	5	6	5	6	4	6	5	0.817	0.8085	0.000036	0.000002	0.712825
m.10054	107	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	-0.529	-0.4843	0.997799	0.371674	0.993670
m.1007	159	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.816	-0.7045	0.988626	0.504560	0.990595
m.10080	526	9	12	11	11	7	7	13	10	9	11	8	10	13	10	7	6	0.608	0.6741	0.000306	0.000019	0.737560
m.10101	187	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	-0.690	-0.7124	0.988040	0.507798	0.990678
m.10111	222	3	3	1	3	3	3	3	0	2	3	1	2	3	2	3	1	0.010	0.0092	0.352241	0.037259	0.918374
m.10119	416	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	-0.598	-0.5110	0.999719	0.392055	0.993305
m.1013	969	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	-0.475	-0.4044	0.979330	0.305788	0.993173
m.10132	182	0	1	2	0	0	0	1	0	0	0	1	0	0	0	0	1	-0.562	-0.4806	0.997399	0.368772	0.993705
m.10135	467	6	10	9	9	5	8	9	3	8	9	3	11	8	6	8	1	1.021	1.0271	0.000001	0.000000	0.679431
m.10138	474	2	2	0	2	2	2	3	1	1	2	1	1	4	1	2	2	-0.198	-0.1876	0.756779	0.129993	0.969991
m.10139	271	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	-0.869	-0.7336	0.986681	0.516003	0.991030
m.10164	157	1	0	0	0	1	1	0	0	1	1	0	1	1	1	1	0	-0.770	-0.7267	0.987105	0.513409	0.990895
m.10182	249	0	1	0	2	0	0	0	0	1	1	0	1	0	0	2	0	-0.498	-0.4168	0.983749	0.316368	0.993454
m.10194	572	10	16	14	16	10	10	19	15	20	16	14	18	18	18	13	16	2.025	2.8641	0.000000	0.000000	0.594680
m.10196	145	0	0	1	0	1	1	0	1	0	1	0	0	0	1	0	0	-0.738	-0.6798	0.990615	0.493784	0.990492
m.10199	219	5	4	5	5	6	6	7	6	4	5	7	7	3	3	7	7	1.168	0.9913	0.000001	0.000000	0.684330
m.10205	893	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	-0.814	-0.7790	0.984984	0.531340	0.992433
m.10239	279	0	0	0	1	0	0	1	1	0	1	0	1	1	0	1	0	-0.458	-0.3293	0.936319	0.240935	0.989349
m.10260	232	0	1	2	2	1	1	2	2	1	1	1	2	1	1	2	1	-0.502	-0.4470	0.991932	0.341674	0.993797
m.10264	203	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-0.768	-0.7057	0.988543	0.505058	0.990606
m.10289	705	0	0	1	0	1	2	1	1	0	1	0	0	2	0	1	1	-0.697	-0.6790	0.990680	0.493418	0.990493
m.10304	278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.529	-0.4820	0.997550	0.369872	0.993693
m.10324	680	0	0	2	0	0	0	1	2	1	2	0	3	1	1	2	1	-0.165	-0.1665	0.718425	0.116238	0.965674
m.10327	1122	4	5	4	3	6	4	5	5	6	4	4	5	3	4	4	3	0.779	0.8423	0.000020	0.000001	0.707113
m.10342	512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.723	-0.7005	0.988933	0.502882	0.990563
m.10346	250	1	0	0	0	1	0	0	0	1	0	2	0	1	0	1	2	-0.326	-0.2892	0.899646	0.207056	0.985579
m.10353	112	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-0.720	-0.6920	0.989603	0.499232	0.990514
m.1036	1192	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	-0.888	-0.7374	0.986478	0.517402	0.991114
m.10378	725	3	4	2	2	5	3	3	2	2	2	3	3	2	2	1	2	0.175	0.1602	0.124513	0.010466	0.870008
m.1038	113	6	6	6	7	6	6	7	5	5	6	4	6	6	6	6	6	0.943	0.8983	0.000008	0.000000	0.698094
m.10387	484	3	2	5	2	3	3	2	3	3	5	8	3	4	4	3	3	0.897	0.8586	0.000015	0.000001	0.704431
m.104	1674	15	31	27	38	18	14	35	17	34	33	35	30	29	32	32	29	2.981	6.2090	0.000000	0.000000	0.583631
m.1041	396	1	1	1	1	1	1	1	0	1	1	2	1	1	1	1	2	-0.763	-0.7741	0.985074	0.529824	0.992239
m.1042	331	1	0	1	3	1	0	2	1	3	1	2	1	3	3	2	2	0.189	0.2106	0.081167	0.006455	0.854087
m.1044	836	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-0.443	-0.4006	0.977838	0.302529	0.993070
m.10463	220	1	1	2	1	0	2	2	0	3	1	2	4	2	2	1	0	-0.217	-0.2368	0.835026	0.165314	0.978633
m.10468	320	5	7	5	5	4	5	6	6	7	5	7	7	5	7	5	7	1.188	1.0911	0.000000	0.000000	0.671207
m.10472	547	1	2	3	4	2	3	3	3	5	4	5	4	2	5	4	2	0.305	0.2956	0.036306	0.002672	0.828464
m.10496	298	8	6	8	6	8	7	6	6	10	4	12	12	5	10	5	9	1.257	1.3456	0.000000	0.000000	0.644701
m.10498	209	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-0.465	-0.4711	0.996190	0.361243	0.993774
m.10499	214	0	0	1	0	0	1	1	2	1	2	0	1	2	2	3	0	-0.122	-0.1093	0.603287	0.083573	0.952275
m.1054	285	6	6	9	8	5	7	7	5	7	5	4	7	4	6	9	5	1.130	1.2037	0.000000	0.000000	0.658311
m.10547	1648	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	-0.683	-0.6115	0.996503	0.458583	0.991217
m.10557	131	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	1	-0.561	-0.5355	1.000000	0.409825	0.992843
m.10558	176	3	3	5	4	1	2	4	2	2	4	2	3	4	3	4	2	0.394	0.4047	0.011172	0.000760	0.798443
m.10560	427	6	3	6	5	6	4	2	3	10	9	7	7	10	7	9	6	1.669	1.4416	0.000000	0.000000	0.637071
m.10575	652	3	0	2	0	2	2	0	1	0	1	0	0	2	1	0	0	-0.399	-0.3840	0.970557	0.288224	0.992513
m.10580	205	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	-0.720	-0.6670	0.991718	0.487801	0.990526
m.10586	414	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	-0.574	-0.5014	0.999213	0.384843	0.993457
m.1060	147	1	1	1	3	1	1	2	2	0	1	1	0	1	0	1	1	-0.605	-0.4955	0.998794	0.380345	0.993540
m.10603	487	1	2	1	2	2	2	1	1	2	1	0	1	2	1	1	0	-0.438	-0.4151	0.983182	0.314923	0.993421
m.10605	698	2	1	1	1	1	2	1	1	1	2	2	2	1	1	4	0	-0.051	-0.0389	0.451559	0.052770	0.932919
m.10621	420	1	2	0	3	1	1	3	2	1	2	4	1	2	2	1	5	0.069	0.0660	0.249170	0.023847	0.900380
m.10638	702	1	0	0	1	0	0	0	0	0	1	1	0	1	0	1	1	-0.723	-0.6021	0.997232	0.453097	0.991398
m.10645	257	1	1	1	0	0	0	1	0	0	1	0	0	0	0	2	0	-0.737	-0.6542	0.992846	0.481538	0.990613
m.1069	424	4	5	7	5	5	5	5	3	5	7	5	4	3	3	5	4	0.733	0.6816	0.000273	0.000017	0.736092
m.10693	451	1	0	0	0	2	2	0	0	0	0	0	1	0	0	0	0	-0.856	-0.8332	0.985831	0.546064	0.995144
m.107	99	4	8	6	7	5	5	9	8	8	7	8	8	8	8	7	8	1.442	1.3598	0.000000	0.000000	0.643494
m.10713	218	10	10	10	9	9	11	7	9	13	10	12	11	10	11	10	11	1.954	2.1111	0.000000	0.000000	0.607784
m.10714	429	6	5	8	4	4	4	5	7	4	6	5	2	3	4	6	6	0.733	0.7680	0.000070	0.000004	0.719935
m.10723	443	0	1	1	0	0	0	0	2	0	0	0	1	1	0	1	2	-0.696	-0.5786	0.998772	0.438703	0.991897
m.10726	1630	4	3	4	4	3	3	3	3	4	6	2	2	8	5	6	3	0.798	0.8766	0.000011	0.000001	0.701523
m.1073	371	2	3	1	1	1	2	3	3	1	1	2	2	2	1	2	0	-0.415	-0.3663	0.961284	0.272899	0.991722
m.1074	292	1	2	2	2	1	2	2	1	3	3	3	3	2	3	3	1	0.118	0.1056	0.189434	0.017083	0.887598
m.10744	282	3	4	5	3	5	4	3	3	6	3	5	5	4	7	3	6	0.826	0.7521	0.000091	0.000005	0.722806
m.10807	572	15	16	21	18	16	13	17	19	19	16	17	11	19	21	20	15	1.813	1.4551	0.000000	0.000000	0.636097
m.10812	189	2	1	0	0	1	1	2	0	2	0	1	2	1	1	0	1	-0.760	-0.6476	0.993412	0.478198	0.990677
m.10816	192	3	2	2	2	2	2	2	1	3	4	2	2	3	3	3	2	-0.187	-0.1944	0.768560	0.134613	0.971305
m.10818	372	2	0	1	1	3	1	0	2	0	2	0	1	2	1	1	1	-0.270	-0.2266	0.820171	0.157645	0.977009
m.10831	206	0	0	0	0	0	1	0	1	1	1	3	1	1	1	1	3	-0.081	-0.0817	0.544070	0.070283	0.945017
m.10852	208	0	1	0	1	1	0	1	1	1	3	0	1	1	0	1	1	-0.435	-0.4134	0.982596	0.313476	0.993386
m.10862	241	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	-0.693	-0.5836	0.998488	0.441847	0.991787
m.10878	258	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	-0.819	-0.7329	0.986730	0.515744	0.991016
m.10883	471	12	10	9	11	11	10	10	9	16	14	10	13	13	15	14	11	1.951	2.1614	0.000000	0.000000	0.606493
m.1089	117	8	9	8	9	9	9	10	8	9	7	7	6	8	8	8	8	1.202	1.2226	0.000000	0.000000	0.656333
m.10893	298	10	19	14	20	12	10	17	14	18	14	8	16	12	19	11	5	1.316	1.4743	0.000000	0.000000	0.634750
m.10901	228	0	0	0	1	0	0	1	0	1	1	1	1	1	0	0	0	-0.817	-0.7890	0.984875	0.534335	0.992857
m.10905	398	2	4	3	1	0	1	2	3	5	5	3	1	4	2	3	2	0.536	0.4533	0.006274	0.000415	0.786146
m.10909	251	1	0	2	0	1	1	0	2	0	0	0	0	1	0	0	0	-0.480	-0.4190	0.984461	0.318235	0.993495
m.10914	217	5	4	3	4	4	4	2	2	4	4	3	3	2	4	3	5	0.395	0.3549	0.019520	0.001373	0.811727
m.10928	723	2	1	2	3	3	3	1	2	2	2	2	1	1	2	2	1	-0.311	-0.2736	0.882439	0.194266	0.983754
m.10938	346	1	2	3	3	1	1	2	4	5	3	2	5	4	6	3	3	0.538	0.5048	0.003288	0.000212	0.773798
m.10939	1302	2	2	1	2	1	1	3	1	1	2	2	3	2	2	2	2	0.385	0.3607	0.018323	0.001284	0.810144
m.10942	329	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	-0.833	-0.7374	0.986478	0.517402	0.991114
m.10944	532	0	1	0	0	0	0	1	2	0	0	0	0	1	1	1	0	-0.486	-0.4222	0.985460	0.320945	0.993549
m.10974	566	3	3	2	4	3	3	3	1	3	3	2	3	5	3	3	2	0.467	0.4944	0.003757	0.000244	0.776237
m.110	1165	27	46	47	53	25	29	48	39	35	44	38	38	45	39	40	35	0.885	1.5491	0.000000	0.000000	0.629936
m.1100	513	3	2	4	1	3	1	3	2	3	2	3	3	2	4	2	4	0.109	0.1081	0.186022	0.016717	0.886789
m.11021	150	0	0	0	0	0	1	1	0	0	1	0	0	1	0	1	0	-0.748	-0.6223	0.995618	0.464692	0.991026
m.1103	1107	0	2	0	1	0	0	1	0	1	0	0	0	0	1	0	0	-0.803	-0.7135	0.987976	0.508241	0.990692
m.11035	299	2	2	2	3	2	2	3	2	1	1	0	3	1	0	2	0	-0.202	-0.1654	0.716351	0.115545	0.965439
m.11041	876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	-0.606	-0.5823	0.998549	0.441033	0.991815
m.11045	121	1	2	1	2	1	1	2	1	2	1	0	2	0	3	1	1	-0.218	-0.1782	0.740017	0.123756	0.968112
m.11092	1439	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-0.661	-0.5785	0.998776	0.438639	0.991899
m.11100	1144	6	9	10	9	7	8	8	6	9	12	6	6	6	7	13	7	1.043	0.9415	0.000004	0.000000	0.691512
m.11107	150	6	9	8	7	9	6	9	7	9	7	8	8	8	7	8	6	0.852	0.7350	0.000119	0.000007	0.725945
m.11115	300	0	0	2	0	1	2	0	0	0	0	3	0	1	0	0	2	-0.364	-0.3387	0.943425	0.249020	0.990049
m.11137	540	0	1	0	1	0	1	1	2	1	1	1	0	0	0	0	1	-0.919	-0.7798	0.984971	0.531585	0.992465
m.11149	227	6	6	4	5	4	7	8	4	8	6	5	7	5	7	6	6	0.699	0.6126	0.000758	0.000047	0.750014
m.11152	593	1	0	1	0	1	1	0	1	0	1	0	1	0	0	2	1	-0.616	-0.5799	0.998713	0.439524	0.991868
m.1116	106	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.816	-0.6990	0.989034	0.502247	0.990552
m.11167	387	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-0.517	-0.4716	0.996264	0.361643	0.993771
