Protein	Len	S0	S0	S0	S0	S0	S0	S0	S0	S1	S1	S1	S1	S1	S1	S1	S1	LogFoldChange	Zstatistic	fdr	FDRup	FDRdown
m.1	362	2	2	2	2	2	2	2	0	2	2	1	2	2	2	2	1	0.01	0.0095	0.394696	0.04624	0.941406
m.1000	214	15	17	19	21	14	18	19	14	20	19	18	20	18	22	23	16	2.069	1.9492	0	0	0.660025
m.10009	206	7	4	6	4	5	8	4	4	3	3	2	1	4	4	4	2	0.126	0.1152	0.203236	0.020322	0.911172
m.10012	278	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-0.507	-0.4638	0.999196	0.397147	0.999974
m.10015	205	7	6	7	5	8	7	6	4	6	9	7	7	6	7	6	5	0.72	0.696	0.000356	0.000025	0.76945
m.10041	171	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-0.779	-0.7163	1	0.55603	1
m.1005	498	5	6	8	6	4	2	6	8	5	5	6	5	6	4	6	5	0.717	0.539	0.003025	0.000219	0.799925
m.10054	107	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	-0.402	-0.3335	0.965107	0.279401	0.997561
m.1007	159	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.872	-0.8876	0.999998	0.606565	1
m.10080	526	9	12	11	11	7	7	13	10	9	11	8	10	13	10	7	6	1.216	1.4623	0	0	0.681136
m.10101	187	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	-0.905	-0.8129	1	0.589068	1
m.10111	222	3	3	1	3	3	3	3	0	2	3	1	2	3	2	3	1	-0.095	-0.0861	0.607334	0.087358	0.96516
m.10119	416	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	-0.662	-0.6378	1	0.518607	1
m.1013	969	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	-0.774	-0.7069	1	0.552084	1
m.10132	182	0	1	2	0	0	0	1	0	0	0	1	0	0	0	0	1	-0.618	-0.5737	0.999881	0.480077	0.999987
m.10135	467	6	10	9	9	5	8	9	3	8	9	3	11	8	6	8	1	1.551	1.4521	0	0	0.681764
m.10138	474	2	2	0	2	2	2	3	1	1	2	1	1	4	1	2	2	0.053	0.0471	0.318523	0.035007	0.930958
m.10139	271	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	-0.8	-0.6545	1	0.527443	1
m.10164	157	1	0	0	0	1	1	0	0	1	1	0	1	1	1	1	0	-0.872	-0.7897	1	0.582302	1
m.10182	249	0	1	0	2	0	0	0	0	1	1	0	1	0	0	2	0	-0.432	-0.3606	0.978056	0.304623	0.998586
m.10194	572	10	16	14	16	10	10	19	15	20	16	14	18	18	18	13	16	2.011	2.6659	0	0	0.647043
m.10196	145	0	0	1	0	1	1	0	1	0	1	0	0	0	1	0	0	-0.864	-0.7428	1	0.566419	1
m.10199	219	5	4	5	5	6	6	7	6	4	5	7	7	3	3	7	7	1.335	1.0955	0	0	0.711638
m.10205	893	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	-0.749	-0.7004	1	0.549274	1
m.10239	279	0	0	0	1	0	0	1	1	0	1	0	1	1	0	1	0	-0.396	-0.367	0.980551	0.31057	0.998777
m.10260	232	0	1	2	2	1	1	2	2	1	1	1	2	1	1	2	1	-0.232	-0.2148	0.849966	0.174411	0.987688
m.10264	203	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-0.786	-0.7429	1	0.566456	1
m.10289	705	0	0	1	0	1	2	1	1	0	1	0	0	2	0	1	1	-0.59	-0.5103	1	0.43471	0.999987
m.10304	278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.589	-0.5379	1	0.45533	0.999986
m.10324	680	0	0	2	0	0	0	1	2	1	2	0	3	1	1	2	1	-0.262	-0.2343	0.876344	0.190488	0.99
m.10327	1122	4	5	4	3	6	4	5	5	6	4	4	5	3	4	4	3	0.685	0.6585	0.00061	0.000043	0.776297
m.10342	512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.756	-0.6338	1	0.516418	1
m.10346	250	1	0	0	0	1	0	0	0	1	0	2	0	1	0	1	2	-0.415	-0.4062	0.991866	0.346602	0.999583
m.10353	112	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-0.632	-0.5011	1	0.427549	0.999987
m.1036	1192	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	-0.904	-0.8526	0.999999	0.59913	1
m.10378	725	3	4	2	2	5	3	3	2	2	2	3	3	2	2	1	2	0.167	0.136	0.174592	0.017038	0.90502
m.1038	113	6	6	6	7	6	6	7	5	5	6	4	6	6	6	6	6	0.95	0.8116	0.000061	0.000004	0.74986
m.10387	484	3	2	5	2	3	3	2	3	3	5	8	3	4	4	3	3	0.522	0.4664	0.007298	0.000548	0.815854
m.104	1674	15	31	27	38	18	14	35	17	34	33	35	30	29	32	32	29	1.505	1.6223	0	0	0.672491
m.1041	396	1	1	1	1	1	1	1	0	1	1	2	1	1	1	1	2	-0.426	-0.3537	0.975134	0.298204	0.99836
m.1042	331	1	0	1	3	1	0	2	1	3	1	2	1	3	3	2	2	-0.231	-0.2224	0.860618	0.180602	0.988624
m.1044	836	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-1.036	-0.8953	0.999996	0.608036	1
m.10463	220	1	1	2	1	0	2	2	0	3	1	2	4	2	2	1	0	0.008	0.0068	0.400435	0.047145	0.942138
m.10468	320	5	7	5	5	4	5	6	6	7	5	7	7	5	7	5	7	1.074	0.8763	0.000021	0.000001	0.739886
m.10472	547	1	2	3	4	2	3	3	3	5	4	5	4	2	5	4	2	0.368	0.3322	0.031183	0.00256	0.849009
m.10496	298	8	6	8	6	8	7	6	6	10	4	12	12	5	10	5	9	0.818	0.6114	0.001173	0.000083	0.785263
m.10498	209	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-0.787	-0.8196	1	0.590896	1
m.10499	214	0	0	1	0	0	1	1	2	1	2	0	1	2	2	3	0	-0.416	-0.3488	0.97291	0.293642	0.998185
m.1054	285	6	6	9	8	5	7	7	5	7	5	4	7	4	6	9	5	0.845	0.7458	0.000169	0.000012	0.760734
m.10547	1648	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	-0.615	-0.5653	0.999942	0.474478	0.999985
m.10557	131	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	1	-0.707	-0.6381	1	0.51877	1
m.10558	176	3	3	5	4	1	2	4	2	2	4	2	3	4	3	4	2	0.335	0.2741	0.054642	0.004689	0.864863
m.10560	427	6	3	6	5	6	4	2	3	10	9	7	7	10	7	9	6	1.28	1.1825	0	0	0.702721
m.10575	652	3	0	2	0	2	2	0	1	0	1	0	0	2	1	0	0	-0.401	-0.3414	0.9693	0.286751	0.997899
m.10580	205	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	-0.699	-0.6088	1	0.502091	1
m.10586	414	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	-0.812	-0.7622	1	0.573363	1
m.1060	147	1	1	1	3	1	1	2	2	0	1	1	0	1	0	1	1	-0.677	-0.5512	1	0.464792	0.999985
