Protein	Len	S0	S0	S0	S1	S1	S1	LogFoldChange	Zstatistic	fdr	FDRup	FDRdown
m.1	362	1	2	2	1	2	2	-0.363	-0.3862	0.999998	0.811122	0.725260
m.1000	214	21	11	19	22	17	23	0.171	0.5381	0.066790	0.019225	0.791955
m.10009	206	4	4	5	5	6	6	0.072	0.1231	0.752123	0.280840	0.828178
m.10015	205	7	8	6	5	5	3	-0.166	-0.2791	1.000000	0.754598	0.772058
m.1005	498	6	7	5	4	3	5	-0.163	-0.2729	1.000000	0.750480	0.774180
m.1007	159	1	0	1	1	0	0	-0.275	-0.2690	1.000000	0.747835	0.775486
m.10080	526	9	10	10	12	12	13	0.247	0.6150	0.035880	0.009923	0.786031
m.10093	673	1	1	0	0	0	0	-0.342	-0.3788	0.999996	0.807999	0.729187
m.10111	222	3	3	2	1	1	0	-0.603	-0.6385	0.969271	0.872301	0.510704
m.1013	969	1	1	1	0	1	0	-0.407	-0.4222	1.000000	0.824946	0.704456
m.10132	182	1	3	4	0	0	0	-1.155	-1.2823	0.066606	0.813614	0.015209
m.10135	467	8	8	8	6	7	5	-0.236	-0.4676	1.000000	0.839496	0.673869
m.10138	474	3	3	3	1	2	0	-0.966	-1.0910	0.252425	0.840680	0.066799
m.10139	271	1	2	0	0	0	0	-0.361	-0.3238	1.000000	0.781351	0.754995
m.10164	157	1	1	1	0	0	0	-0.241	-0.2273	1.000000	0.716819	0.788146
m.10168	220	0	1	0	0	0	0	-0.472	-0.4786	1.000000	0.842596	0.665672
m.10182	249	0	1	1	0	1	0	-0.382	-0.3469	1.000000	0.793317	0.744852
m.10194	572	15	19	18	11	13	11	-0.423	-1.1643	0.158951	0.829599	0.039545
m.10196	145	1	1	0	0	0	0	-0.441	-0.4345	1.000000	0.829185	0.696668
m.10199	219	5	6	6	3	3	5	-0.618	-0.8771	0.656291	0.870379	0.226667
m.10205	893	0	0	0	0	1	0	-0.333	-0.3136	1.000000	0.775680	0.759176
m.10239	279	1	1	1	0	0	0	-0.380	-0.3358	1.000000	0.787715	0.749846
m.10260	232	2	2	1	1	1	1	-0.355	-0.3376	1.000000	0.788642	0.749052
m.10264	203	0	0	0	1	0	0	-0.399	-0.3976	1.000000	0.815740	0.718982
m.1027	157	1	1	1	0	0	0	-0.424	-0.3912	1.000000	0.813176	0.722541
m.10289	705	0	1	0	0	0	0	-0.374	-0.3224	1.000000	0.780587	0.755580
m.10324	680	1	2	1	0	1	1	-0.239	-0.2379	1.000000	0.725194	0.785144
m.10327	1122	4	5	2	5	1	4	0.807	1.0733	0.000280	0.000048	0.770190
m.1033	111	1	1	1	0	0	0	-0.413	-0.3807	0.999996	0.808810	0.728189
m.10342	512	1	0	0	0	0	0	-0.252	-0.2379	1.000000	0.725194	0.785144
m.10346	250	2	1	0	1	0	0	-0.486	-0.4396	1.000000	0.830876	0.693332
m.1035	165	0	0	1	0	0	0	-0.404	-0.4017	1.000000	0.817345	0.716655
m.1036	1192	0	0	1	0	1	1	-0.341	-0.3406	1.000000	0.790170	0.747714
m.10378	725	4	5	4	2	2	3	-0.591	-0.8501	0.708683	0.872891	0.255782
m.1038	113	6	5	5	6	6	5	0.189	0.3158	0.315972	0.097348	0.814091
m.10387	484	4	4	5	3	1	2	-0.472	-0.6906	0.933632	0.876268	0.448489
m.104	1674	39	33	38	16	12	10	-0.802	-2.7441	0.000000	0.766758	0.000000
m.1041	396	1	1	1	1	1	1	-0.475	-0.4580	1.000000	0.836663	0.680765
m.1042	331	2	1	3	0	0	0	-1.013	-1.1129	0.221323	0.837316	0.057433
m.10463	220	3	1	1	0	0	0	-0.424	-0.4287	1.000000	0.827215	0.700385
m.10468	320	7	6	6	6	3	4	0.013	0.0234	0.923022	0.417979	0.827242
m.10469	238	1	1	0	0	0	0	-0.281	-0.2959	1.000000	0.765243	0.766019
m.10472	547	1	3	2	0	1	0	-0.668	-0.6753	0.945927	0.875382	0.467121
m.10496	298	7	6	5	6	2	3	0.198	0.3428	0.267947	0.081702	0.811290
m.10499	214	2	2	2	0	0	1	-0.707	-0.7384	0.884547	0.877588	0.389303
m.1054	285	6	7	8	6	4	2	-0.299	-0.6052	0.983675	0.868341	0.548098
m.10547	1648	0	0	1	0	0	1	-0.330	-0.3305	1.000000	0.784944	0.752152
m.10557	131	1	0	1	0	0	0	-0.366	-0.3425	1.000000	0.791128	0.746859
m.10558	176	4	4	3	4	3	3	0.257	0.3561	0.246310	0.074779	0.809892
m.10560	427	5	7	7	2	2	6	-0.970	-1.4237	0.019590	0.798715	0.004018
m.10575	652	0	1	1	0	0	0	-0.312	-0.3039	1.000000	0.770056	0.762989
m.10586	414	1	0	0	0	0	0	-0.343	-0.3530	1.000000	0.796284	0.742010
m.1060	147	1	1	1	1	1	1	-0.370	-0.3532	1.000000	0.796380	0.741915
m.10603	487	0	0	0	2	1	2	0.322	0.3606	0.239291	0.072548	0.809417
m.10605	698	2	1	2	0	0	0	-0.619	-0.6332	0.971961	0.871746	0.516801
m.10621	420	2	4	3	3	4	2	0.053	0.0733	0.849460	0.347342	0.828643
m.10638	702	1	0	0	0	0	0	-0.521	-0.4861	1.000000	0.844622	0.659900
m.10645	257	0	2	1	0	1	0	-0.398	-0.3695	1.000000	0.803927	0.733962
