Protein	Len	S0	S0	S0	S1	S1	S1	LogFoldChange	Zstatistic	fdr	FDRup	FDRdown
m.1	362	6	6	2	6	6	2	0.968	1.3998	0.000009	0.000001	0.584133
m.1000	214	47	57	33	62	60	34	0.631	3.3007	0.000000	0.000000	0.473241
m.10009	206	20	12	10	8	11	4	-0.159	-0.3526	1.000000	0.410234	0.731671
m.10012	278	0	1	0	0	0	0	-0.050	-0.0497	0.999774	0.258598	0.871279
m.10015	205	22	17	11	20	21	12	0.663	1.7782	0.000000	0.000000	0.536692
m.10041	171	0	1	0	0	0	0	-0.126	-0.1122	1.000000	0.296997	0.855285
m.1005	498	11	18	16	14	17	11	-0.077	-0.2128	1.000000	0.352066	0.818215
m.10054	107	3	0	0	0	0	0	-0.268	-0.2367	1.000000	0.363600	0.806762
m.1007	159	0	0	1	0	0	0	-0.042	-0.0410	0.999389	0.253089	0.873167
m.10080	526	23	36	21	29	31	14	0.361	1.2253	0.000112	0.000007	0.614912
m.10101	187	0	2	1	0	0	2	-0.160	-0.1528	1.000000	0.320397	0.842253
m.10111	222	9	9	1	6	9	2	1.375	1.8357	0.000000	0.000000	0.531242
m.10119	416	0	0	0	0	1	1	-0.149	-0.1414	0.999993	0.313973	0.846150
m.1013	969	0	1	0	0	1	1	-0.192	-0.1775	1.000000	0.333884	0.833111
m.10132	182	0	2	2	0	0	2	-0.612	-0.6219	0.867931	0.465047	0.409454
m.10135	467	19	28	12	25	25	4	0.808	2.1570	0.000000	0.000000	0.507367
m.10138	474	6	7	1	3	8	3	1.018	0.9695	0.002861	0.000199	0.674921
m.10139	271	0	0	0	3	1	0	0.685	0.8139	0.015450	0.001107	0.721018
m.10164	157	3	0	0	3	3	0	0.755	0.8404	0.011769	0.000840	0.712705
m.10182	249	0	3	0	2	3	0	0.455	0.4923	0.228489	0.018840	0.829528
m.10194	572	30	51	29	56	47	30	0.680	3.2291	0.000000	0.000000	0.474320
m.10196	145	2	0	2	1	1	0	-0.663	-0.6956	0.750071	0.470066	0.309600
m.10199	219	17	16	11	14	15	14	0.280	0.7503	0.028870	0.002092	0.741616
m.10205	893	0	0	0	0	2	0	-0.028	-0.0270	0.998442	0.244170	0.876041
m.10239	279	0	2	1	1	3	0	0.087	0.0850	0.962351	0.172892	0.891856
m.10260	232	2	5	4	4	4	2	0.036	0.0568	0.978097	0.190514	0.889102
m.10264	203	0	0	0	1	0	0	-0.167	-0.1561	1.000000	0.322233	0.841088
m.10289	705	3	1	2	0	4	1	-0.416	-0.4123	1.000000	0.428356	0.677445
m.10304	278	0	0	0	0	0	1	-0.402	-0.3668	1.000000	0.414893	0.719839
m.10324	680	0	1	4	5	5	1	0.272	0.4463	0.303568	0.026127	0.844244
m.10327	1122	14	13	9	15	11	7	0.575	1.2933	0.000043	0.000003	0.602073
m.10342	512	0	0	0	0	0	1	-0.196	-0.1780	1.000000	0.334151	0.832916
m.10346	250	2	0	0	1	2	4	0.201	0.2009	0.824078	0.107549	0.893415
m.10353	112	0	1	1	0	0	0	-0.313	-0.2963	1.000000	0.389516	0.772596
m.1036	1192	0	0	0	1	3	1	-0.066	-0.0671	1.000000	0.269518	0.867265
m.10378	725	11	9	4	7	5	5	0.574	1.0444	0.001179	0.000080	0.655288
m.1038	113	18	20	11	17	18	10	0.463	1.2276	0.000109	0.000007	0.614458
m.10387	484	9	6	8	10	12	11	0.262	0.5630	0.140298	0.010970	0.805621
m.104	1674	47	104	44	96	94	64	0.751	4.2234	0.000000	0.000000	0.465230
